,name,league,games_home,wins_home,draws_home,losses_home,goals_for_home,goals_against_home,goal_diff_home,points_home,points_avg_home,games_away,wins_away,draws_away,losses_away,goals_for_away,goals_against_away,goal_diff_away,points_away,points_avg_away,top_team_scorers,top_keeper
7,Millwall,Championship,18,8,7,3,25,18,+7,31,1.72,19,5,8,6,19,22,-3,23,23,"Matt Smith, Jed Wallace - 10",Bartosz Białkowski
8,Cardiff City,Championship,18,8,8,2,26,17,+9,32,1.78,19,5,7,7,26,33,-7,22,22,Lee Tomlin - 7,Alex Smithies
9,Blackburn,Championship,19,8,8,3,24,16,+8,32,1.68,18,6,3,9,28,29,-1,21,21,Adam Armstrong - 11,Christian Walton
10,Swansea City,Championship,19,8,5,6,24,20,+4,29,1.53,18,5,9,4,22,25,-3,24,24,André Ayew - 12,Freddie Woodman
11,Derby County,Championship,19,10,7,2,28,13,+15,37,1.95,18,3,5,10,21,36,-15,14,14,Martyn Waghorn - 12,Kelle Roos
12,QPR,Championship,19,8,5,6,37,33,+4,29,1.53,18,6,3,9,21,29,-8,21,21,Nahki Wells - 13,Joe Lumley
13,Reading,Championship,18,7,2,9,23,24,-1,23,1.28,19,6,7,6,23,18,+5,25,25,George Pușcaș - 9,Rafael Cabral
14,Sheffield Weds,Championship,18,7,5,6,16,21,-5,26,1.44,19,6,4,9,30,28,+2,22,22,Steven Fletcher - 13,Cameron Dawson
15,Birmingham City,Championship,18,6,5,7,27,29,-2,23,1.28,19,6,6,7,21,28,-7,24,24,Lukas Jutkiewicz - 13,Lee Camp
16,Stoke City,Championship,19,8,3,8,29,24,+5,27,1.42,18,4,3,11,20,31,-11,15,15,Sam Clucas - 10,Jack Butland
17,Huddersfield,Championship,19,7,5,7,24,25,-1,26,1.37,18,4,4,10,21,33,-12,16,16,Karlan Grant - 16,Kamil Grabara
18,Middlesbrough,Championship,19,6,8,5,18,19,-1,26,1.37,18,3,6,9,19,28,-9,15,15,"Lewis Wing, Ashley Fletcher - 7",Aynsley Pears
19,Wigan Athletic,Championship,18,6,6,6,18,22,-4,24,1.33,19,4,5,10,20,28,-8,17,17,"Kieffer Moore, Chey Dunkley - 6",David Marshall
20,Hull City,Championship,19,6,3,10,27,33,-6,21,1.11,18,5,5,8,22,30,-8,20,20,Jarrod Bowen - 16,George Long
21,Charlton Ath,Championship,19,7,5,7,25,23,+2,26,1.37,18,3,4,11,19,31,-12,13,13,Lyle Taylor - 11,Dillon Phillips
22,Luton Town,Championship,18,7,4,7,27,27,0,25,1.39,19,3,1,15,16,44,-28,10,10,James Collins - 11,Simon Sluga
23,Barnsley,Championship,19,5,7,7,26,33,-7,22,1.16,18,3,3,12,16,29,-13,12,12,Cauley Woodrow - 14,Bradley Collins
0,Liverpool,Premier League,15,15,0,0,40,12,+28,45,3.00,32.3,14.9,+17.4,+1.16,14,12,1,1,1,Mohamed Salah - 16,Alisson
1,Manchester City,Premier League,13,9,2,2,33,12,+21,29,2.23,31.3,10.6,+20.7,+1.59,15,9,1,5,5,Sergio Agüero - 16,Ederson
