,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
80,Rhys Browne\Rhys-Browne,ag ATG,FW,Port Vale,23,1995,11,6,587,0,1,0,0,0,0,0.00,0.15,0.15,0.00,0.15,Matches
81,Dannie Bulman\Dannie-Bulman,eng ENG,MF,Crawley Town,40,1979,29,28,2318,0,1,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches
82,Joe Bunney\Joe-Bunney,eng ENG,DF,Northampton,25,1993,4,3,295,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
83,Cameron Burgess\Cameron-Burgess,au AUS,DF,Salford City,23,1995,29,26,2359,2,0,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches
84,Scott Burgess\Scott-Burgess,eng ENG,MF,Port Vale,21,1997,24,23,1951,3,3,0,0,1,0,0.14,0.14,0.28,0.14,0.28,Matches
85,Callum Burton\Callum-Burton,eng ENG,GK,Cambridge Utd,22,1996,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Andy Butler\Andy-Butler,eng ENG,DF,Scunthorpe Utd,35,1983,18,16,1413,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
87,Lewis Butroid\Lewis-Butroid,eng ENG,DFMF,Scunthorpe Utd,20,1998,4,4,314,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Adam Buxton\Adam-Buxton,eng ENG,DFMF,Morecambe,27,1992,13,9,842,1,0,0,1,1,0,0.11,0.00,0.11,0.11,0.11,Matches
89,Joel Byrom\Joel-Byrom,eng ENG,MF,Stevenage,32,1986,6,5,462,0,1,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches
90,Paul Caddis\Paul-Caddis,sco SCO,DF,Swindon Town,31,1988,19,18,1558,0,1,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches
91,Panutche Camará\Panutche-Camara,gw GNB,MF,Crawley Town,22,1997,29,23,1883,1,5,0,0,4,0,0.05,0.24,0.29,0.05,0.29,Matches
92,Nathan Cameron\Nathan-Cameron,eng ENG,DF,Macclesfield,27,1991,16,12,1176,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
93,Tahvon Campbell\Tahvon-Campbell,eng ENG,FW,Cheltenham,22,1997,11,6,477,0,1,0,0,1,0,0.00,0.19,0.19,0.00,0.19,Matches
94,Niall Canavan\Niall-Canavan,ie IRL,DF,Plymouth Argyle,28,1991,33,32,2925,2,1,0,0,4,0,0.06,0.03,0.09,0.06,0.09,Matches
95,Harry Cardwell\Harry-Cardwell,sco SCO,FW,Grimsby Town,22,1996,2,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
96,Canice Carroll\Canice-Carroll,ie IRL,MFDF,Stevenage,20,1999,4,2,209,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
97,Canice Carroll\Canice-Carroll,ie IRL,MFDF,Carlisle United,20,1999,9,6,444,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
98,Samir Carruthers\Samir-Carruthers,ie IRL,MF,Cambridge Utd,26,1993,10,7,604,0,1,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches
99,Charlie Carter\Charlie-Carter,eng ENG,MF,Stevenage,22,1996,29,25,2197,5,0,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
100,Jake Cassidy\Jake-Cassidy,wal WAL,FW,Stevenage,26,1993,9,8,673,1,1,0,0,1,0,0.13,0.13,0.27,0.13,0.27,Matches
101,Reice Charles-Cook\Reice-Charles-Cook,eng ENG,GK,Macclesfield,25,1994,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
