,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
477,Moses Ogbu\Moses-Ogbu,ng NGA,FW,Grimsby Town,28,1991,20,11,1147,2,2,1,1,1,0,0.16,0.16,0.31,0.08,0.24,Matches
478,Junior Ogedi-Uzokwe\Junior-Ogedi-Uzokwe,eng ENG,FW,Colchester Utd,25,1994,2,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
479,Ludvig Öhman\Ludvig-Ohman,se SWE,DF,Grimsby Town,27,1991,15,14,1235,1,1,0,0,3,0,0.07,0.07,0.15,0.07,0.15,Matches
480,James Olayinka\James-Olayinka,eng ENG,MF,Northampton,18,2000,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
481,Steven Old\Steven-Old,nz NZL,DF,Morecambe,33,1986,37,37,3263,2,1,0,0,2,0,0.06,0.03,0.08,0.06,0.08,Matches
482,Bobby Olejnik\Bobby-Olejnik,at AUT,GK,Mansfield Town,32,1986,11,11,990,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
483,Vadaine Oliver\Vadaine-Oliver,eng ENG,FW,Northampton,27,1991,30,19,1730,4,2,0,0,5,1,0.21,0.10,0.31,0.21,0.31,Matches
484,Olufela Olomola\Olufela-Olomola,eng ENG,FW,Carlisle United,21,1997,27,14,1279,5,0,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches
485,Emmanuel Osadebe\Emmanuel-Osadebe,ie IRL,MF,Macclesfield,22,1996,25,22,2036,4,3,0,0,4,0,0.18,0.13,0.31,0.18,0.31,Matches
486,Aramide Oteh\Aramide-Oteh,eng ENG,FW,Bradford City,20,1998,18,8,841,2,2,0,0,3,0,0.21,0.21,0.43,0.21,0.43,Matches
487,Emmanuel Oyeleke\Emmanuel-Oyeleke,eng ENG,MF,Port Vale,26,1992,6,3,216,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
488,Alex Palmer\Alex-Palmer,eng ENG,GK,Plymouth Argyle,22,1996,37,37,3330,0,1,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches
489,Matt Palmer\Matt-Palmer,eng ENG,MF,Swindon Town,24,1995,1,0,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
490,Matt Palmer\Matt-Palmer,eng ENG,MF,Bradford City,24,1995,18,17,1433,0,1,0,0,0,0,0.00,0.06,0.06,0.00,0.06,Matches
491,Ollie Palmer\Ollie-Palmer,eng ENG,FW,Crawley Town,27,1992,28,22,2088,13,3,1,1,3,0,0.56,0.13,0.69,0.52,0.65,Matches
492,Tom Parkes\Tom-Parkes,eng ENG,DF,Exeter City,27,1992,31,25,2277,2,0,0,0,4,1,0.08,0.00,0.08,0.08,0.08,Matches
493,David Parkhouse\David-Parkhouse,nir NIR,FW,Stevenage,19,1999,4,2,165,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
494,Dean Parrett\Dean-Parrett,eng ENG,MF,Stevenage,27,1991,17,11,1025,0,2,0,0,6,0,0.00,0.18,0.18,0.00,0.18,Matches
495,Omari Patrick\Omari-Patrick,eng ENG,FW,Carlisle United,23,1996,7,6,569,2,0,0,0,0,0,0.32,0.00,0.32,0.32,0.32,Matches
496,Omari Patrick\Omari-Patrick,eng ENG,FW,Bradford City,23,1996,2,0,29,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
497,Josh Payne\Josh-Payne,eng ENG,MF,Crawley Town,28,1990,2,1,117,1,0,0,0,0,0,0.77,0.00,0.77,0.77,0.77,Matches
498,Krystian Pearce\Krystian-Pearce,eng ENG,DF,Mansfield Town,29,1990,29,28,2540,2,1,0,0,5,0,0.07,0.04,0.11,0.07,0.11,Matches
499,Harry Pell\Harry-Pell,eng ENG,MF,Colchester Utd,27,1991,22,21,1824,3,2,0,0,8,0,0.15,0.10,0.25,0.15,0.25,Matches
500,James Perch\James-Perch,eng ENG,MFDF,Scunthorpe Utd,33,1985,30,30,2564,1,1,0,0,7,1,0.04,0.04,0.07,0.04,0.07,Matches
501,Adam Phillips\Adam-Phillips,eng ENG,MF,Morecambe,21,1998,11,11,909,4,3,0,0,1,1,0.40,0.30,0.69,0.40,0.69,Matches
502,Harry Pickering\Harry-Pickering,eng ENG,DF,Crewe Alexandra,20,1998,35,35,3130,3,5,0,0,3,0,0.09,0.14,0.23,0.09,0.23,Matches
503,Carl Piergianni\Carl-Piergianni,eng ENG,DF,Oldham Athletic,27,1992,11,11,990,0,1,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches
504,Carl Piergianni\Carl-Piergianni,eng ENG,DF,Salford City,27,1992,13,11,999,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
505,Kwame Poku\Kwame-Poku,eng ENG,MF,Colchester Utd,,,29,23,1947,5,3,0,0,2,0,0.23,0.14,0.37,0.23,0.37,Matches
506,Dominic Poleon\Dominic-Poleon,eng ENG,FWMF,Newport County,25,1993,5,0,52,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
507,Matthew Pollock\Matthew-Pollock,eng ENG,DF,Grimsby Town,17,2001,19,11,1223,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
508,Scott Pollock\Scott-Pollock,eng ENG,MF,Northampton,,,11,3,363,1,0,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
509,Nathan Pond\Nathan-Pond,ms MSR,DF,Salford City,34,1985,22,19,1614,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
510,Tom Pope\Tom-Pope,eng ENG,FW,Port Vale,33,1985,33,15,1508,6,2,3,3,4,1,0.36,0.12,0.48,0.18,0.30,Matches
511,Chris Porter\Chris-Porter,eng ENG,FW,Crewe Alexandra,35,1983,26,25,2108,12,2,3,3,0,0,0.51,0.09,0.60,0.38,0.47,Matches
512,Daniel Powell\Daniel-Powell,eng ENG,FW,Crewe Alexandra,28,1991,30,24,2048,9,2,0,0,3,0,0.40,0.09,0.48,0.40,0.48,Matches
513,Jack Powell\Jack-Powell,eng ENG,DFMF,Crawley Town,25,1994,6,0,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
514,Matt Preston\Matt-Preston,eng ENG,DF,Mansfield Town,24,1995,22,20,1770,1,0,0,0,6,2,0.05,0.00,0.05,0.05,0.05,Matches
515,Cameron Pring\Cameron-Pring,eng ENG,DFMF,Walsall,21,1998,21,20,1730,0,1,0,0,4,1,0.00,0.05,0.05,0.00,0.05,Matches
516,Harry Pritchard\Harry-Pritchard,eng ENG,MF,Bradford City,26,1993,21,14,1292,3,5,0,0,1,0,0.21,0.35,0.56,0.21,0.56,Matches
517,Jamie Proctor\Jamie-Proctor,eng ENG,FW,Scunthorpe Utd,27,1992,13,4,476,1,1,0,1,3,0,0.19,0.19,0.38,0.19,0.38,Matches
518,Luke Prosser\Luke-Prosser,eng ENG,DF,Colchester Utd,31,1988,35,35,3140,3,1,0,0,6,0,0.09,0.03,0.11,0.09,0.11,Matches
519,Tom Pugh\Tom-Pugh,eng ENG,DF,Scunthorpe Utd,18,2000,1,0,7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
520,Charlie Raglan\Charlie-Raglan,eng ENG,DF,Cheltenham,26,1993,35,35,3025,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,Matches
521,Joel Randall\Joel-Randall,eng ENG,MF,Exeter City,19,1999,2,0,26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
522,Adam Randell\Adam-Randell,eng ENG,MF,Plymouth Argyle,18,2000,4,0,34,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
523,Farrend Rawson\Farrend-Rawson,eng ENG,DF,FG Rovers,23,1996,30,28,2555,3,0,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches
524,Patrick Reading\Patrick-Reading,sco SCO,MF,Stevenage,20,1999,1,1,90,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
525,Jake Reeves\Jake-Reeves,eng ENG,MF,Bradford City,26,1993,18,17,1350,1,0,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches
526,Reuben Reid\Reuben-Reid,eng ENG,FW,Cheltenham,31,1988,9,5,504,3,0,0,0,1,0,0.54,0.00,0.54,0.54,0.54,Matches
527,Tyler Reid\Tyler-Reid,eng ENG,DF,Swindon Town,21,1997,4,1,109,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
528,Gavin Reilly\Gavin-Reilly,sco SCO,FW,Cheltenham,26,1993,21,18,1376,4,2,0,0,0,0,0.26,0.13,0.39,0.26,0.39,Matches
529,Alex Revell\Alex-Revell,eng ENG,FW,Stevenage,36,1983,2,0,11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
530,Dave Richards\Dave-Richards,wal WAL,GK,Crewe Alexandra,25,1993,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
531,Marc Richards\Marc-Richards,eng ENG,FW,Cambridge Utd,37,1982,18,14,1241,2,1,0,1,0,0,0.15,0.07,0.22,0.15,0.22,Matches
532,Ben Richards-Everton\Ben-Richards-Everton,eng ENG,DF,Bradford City,27,1991,32,32,2851,2,0,0,0,4,1,0.06,0.00,0.06,0.06,0.06,Matches
533,Jayden Richardson\Jayden-Richardson,eng ENG,MFDF,Exeter City,18,2000,18,10,999,1,0,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches
534,Joe Riley\Joe-Riley,eng ENG,MF,Plymouth Argyle,27,1991,15,11,1010,1,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches
535,Joe Riley\Joe-Riley,eng ENG,MFDF,Mansfield Town,27,1991,6,6,487,1,0,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches
536,Sebastian Ring\Sebastian-Ring,se SWE,DF,Grimsby Town,24,1995,2,1,100,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
537,Kory Roberts\Kory-Roberts,eng ENG,DF,Walsall,21,1997,2,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
538,Liam Roberts\Liam-Roberts,eng ENG,GK,Walsall,24,1994,32,32,2880,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
539,Morgan Roberts\Morgan-Roberts,eng ENG,MF,Northampton,,,1,0,,0,0,0,0,0,0,,,,,,Matches
540,Theo Robinson\Theo-Robinson,jm JAM,FW,Colchester Utd,30,1989,28,19,1663,11,3,0,0,1,1,0.60,0.16,0.76,0.60,0.76,Matches
541,Ethan Robson\Ethan-Robson,eng ENG,MF,Grimsby Town,22,1996,16,11,1052,3,1,0,0,2,0,0.26,0.09,0.34,0.26,0.34,Matches
542,Barry Roche\Barry-Roche,ie IRL,GK,Morecambe,37,1982,16,16,1440,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
543,Devante Rodney\Devante-Rodney,eng ENG,MF,Salford City,21,1998,3,1,120,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
544,Jack Roles\Jack-Roles,cy CYP,MF,Cambridge Utd,20,1999,23,12,1172,5,0,0,0,6,0,0.38,0.00,0.38,0.38,0.38,Matches
545,Joel Rollinson\Joel-Rollinson,eng ENG,MF,Stevenage,20,1998,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
546,Adam Rooney\Adam-Rooney,ie IRL,FW,Salford City,31,1988,32,24,2104,8,1,3,4,3,0,0.34,0.04,0.38,0.21,0.26,Matches
547,Ahkeem Rose\Ahkeem-Rose,eng ENG,FW,Grimsby Town,30,1988,18,7,735,2,1,0,0,1,0,0.24,0.12,0.37,0.24,0.37,Matches
548,Danny Rose\Danny-Rose,eng ENG,MF,Swindon Town,31,1988,19,10,1001,1,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches
549,Danny Rose\Danny-Rose,eng ENG,FW,Mansfield Town,25,1993,31,28,2368,11,3,4,4,5,0,0.42,0.11,0.53,0.27,0.38,Matches
550,Jack Rose\Jack-Rose,eng ENG,GK,Walsall,24,1995,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
551,Michael Rose\Michael-Rose,eng ENG,DFMF,Macclesfield,37,1982,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
552,Ethan Ross\Ethan-Ross,eng ENG,GK,Colchester Utd,22,1997,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
553,Danny Rowe\Danny-Rowe,eng ENG,FW,Oldham Athletic,29,1990,10,10,881,3,1,0,0,0,0,0.31,0.10,0.41,0.31,0.41,Matches
554,Jai Rowe\Jai-Rowe,,MF,Scunthorpe Utd,,,1,1,73,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
555,Zak Rudden\Zak-Rudden,sco SCO,FW,Plymouth Argyle,19,2000,14,7,649,2,0,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches
556,Sam Russell\Sam-Russell,eng ENG,GK,Grimsby Town,36,1982,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
557,Mat Sadler\Mat-Sadler,eng ENG,DF,Walsall,34,1985,27,24,2164,2,0,0,0,0,1,0.08,0.00,0.08,0.08,0.08,Matches
558,Mohammed Sagaf\Mohammed-Sagaf,eng ENG,MFDF,Carlisle United,,,17,11,1029,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,Matches
559,Antoni Sarcevic\Antoni-Sarcevic,eng ENG,MF,Plymouth Argyle,27,1992,32,30,2640,10,6,4,5,9,2,0.34,0.20,0.55,0.20,0.41,Matches
560,Sam Sargeant\Sam-Sargeant,eng ENG,GK,Leyton Orient,21,1997,12,11,1067,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
561,Brendan Sarpong-Wiredu\Brendan-Sarpong-Wiredu,eng ENG,MFDF,Colchester Utd,19,1999,7,5,385,0,1,0,0,2,0,0.00,0.23,0.23,0.00,0.23,Matches
562,Gary Sawyer\Gary-Sawyer,eng ENG,DF,Plymouth Argyle,34,1985,28,28,2418,0,2,0,0,5,2,0.00,0.07,0.07,0.00,0.07,Matches
563,Sean Scannell\Sean-Scannell,ie IRL,MF,Bradford City,28,1990,5,2,218,1,0,0,0,0,0,0.41,0.00,0.41,0.41,0.41,Matches
564,Dan Scarr\Dan-Scarr,eng ENG,DF,Walsall,24,1994,33,32,2925,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
565,Stefan Scougall\Stefan-Scougall,sco SCO,MF,Carlisle United,26,1992,20,14,1256,2,0,0,0,3,0,0.14,0.00,0.14,0.14,0.14,Matches
566,Sonhy Sefil\Sonhy-Sefil,mq MTQ,DFMF,Oldham Athletic,25,1994,4,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
567,Désiré Segbé Azankpo\Desire-Segbe-Azankpo,bj BEN,FWMF,Oldham Athletic,26,1993,28,22,1977,4,1,0,0,3,0,0.18,0.05,0.23,0.18,0.23,Matches
568,Jamie Sendles-White\Jamie-Sendles-White,nir NIR,DF,Crawley Town,25,1994,14,12,1129,0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches
569,Courtney Senior\Courtney-Senior,eng ENG,MF,Colchester Utd,22,1997,29,19,1687,2,3,0,0,0,0,0.11,0.16,0.27,0.11,0.27,Matches
570,David Sesay\David-Sesay,ke KEN,DFMF,Crawley Town,20,1998,25,18,1696,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
571,Ben Seymour\Ben-Seymour,eng ENG,FW,Exeter City,20,1999,11,3,298,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
572,Conor Shaughnessy\Conor-Shaughnessy,ie IRL,MFDF,Mansfield Town,23,1996,15,14,1216,0,2,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches
573,Max Sheaf\Max-Sheaf,eng ENG,MF,Cheltenham,19,2000,19,14,1136,2,0,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches
574,Josh Sheehan\Josh-Sheehan,wal WAL,MF,Newport County,24,1995,33,33,2906,2,3,0,0,6,0,0.06,0.09,0.15,0.06,0.15,Matches
575,Mark Shelton\Mark-Shelton,eng ENG,MF,Salford City,22,1996,5,5,360,1,0,0,0,0,0,0.25,0.00,0.25,0.25,0.25,Matches
576,Liam Shephard\Liam-Shephard,wal WAL,MFDF,FG Rovers,24,1994,19,17,1408,1,2,0,1,2,0,0.06,0.13,0.19,0.06,0.19,Matches
577,Nathan Sheron\Nathan-Sheron,eng ENG,MF,Walsall,21,1997,7,6,498,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
578,Stuart Sinclair\Stuart-Sinclair,eng ENG,MF,Walsall,31,1987,26,22,2039,2,0,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches
579,Regan Slater\Regan-Slater,eng ENG,MF,Scunthorpe Utd,19,1999,12,7,670,0,2,0,0,0,0,0.00,0.27,0.27,0.00,0.27,Matches
580,Jordan Slew\Jordan-Slew,eng ENG,FW,Morecambe,26,1992,11,9,688,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
581,Adam Smith\Adam-Smith,eng ENG,GK,FG Rovers,26,1992,8,8,720,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
582,Alistair Smith\Alistair-Smith,sco SCO,MF,Mansfield Town,25,1994,5,1,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
583,Harry Smith\Harry-Smith,eng ENG,FW,Northampton,24,1995,19,7,855,4,0,0,0,4,1,0.42,0.00,0.42,0.42,0.42,Matches
584,Jack Smith\Jack-Smith,eng ENG,FW,Stevenage,,,1,0,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
585,Jonny Smith\Jonny-Smith,eng ENG,MFFW,Oldham Athletic,22,1997,28,25,2276,9,7,0,0,1,0,0.36,0.28,0.63,0.36,0.63,Matches
586,Jonte Smith\Jonte-Smith,bm BER,FW,Cheltenham,25,1994,12,2,276,1,1,0,0,1,0,0.33,0.33,0.65,0.33,0.65,Matches
587,Martin Smith\Martin-Smith,eng ENG,MF,Salford City,23,1995,4,3,228,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
588,Nathan Smith\Nathan-Smith,eng ENG,DF,Port Vale,23,1996,34,33,2913,5,0,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches
589,Sam Smith\Sam-Smith,eng ENG,FW,Cambridge Utd,21,1998,28,25,2206,7,2,2,3,2,0,0.29,0.08,0.37,0.20,0.29,Matches
590,Ashley Smith-Brown\Ashley-Smith-Brown,eng ENG,DF,Oldham Athletic,23,1996,6,5,387,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
591,Liam Smyth\Liam-Smyth,nir NIR,FW,Stevenage,17,2001,1,0,,0,0,0,0,0,0,,,,,,Matches
592,Tom Soares\Tom-Soares,eng ENG,MFDF,Stevenage,33,1986,15,14,1144,0,1,0,0,3,1,0.00,0.08,0.08,0.00,0.08,Matches
593,Yann Songo'o\Yann-Songoo,cm CMR,MF,Scunthorpe Utd,27,1991,16,16,1326,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
594,Emmanuel Sonupe\Emmanuel-Sonupe,eng ENG,MFFW,Stevenage,23,1996,9,5,495,1,0,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches
595,Ruel Sotiriou\Ruel-Sotiriou,cy CYP,FWMF,Leyton Orient,18,2000,10,7,698,5,0,0,0,2,0,0.64,0.00,0.64,0.64,0.64,Matches
596,Omar Sowunmi\Omar-Sowunmi,eng ENG,DF,Colchester Utd,23,1995,7,5,451,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
597,Jack Sparkes\Jack-Sparkes,eng ENG,MF,Exeter City,18,2000,17,17,1405,0,2,0,0,2,0,0.00,0.13,0.13,0.00,0.13,Matches
598,Ben Stephens\Ben-Stephens,eng ENG,FWMF,Macclesfield,,,23,13,1089,3,1,0,0,2,0,0.25,0.08,0.33,0.25,0.33,Matches
599,Omari Sterling-James\Omari-Sterling-James,kn SKN,FW,Mansfield Town,25,1993,8,1,191,1,0,0,0,0,0,0.47,0.00,0.47,0.47,0.47,Matches
600,Mathew Stevens\Mathew-Stevens,eng ENG,FW,FG Rovers,21,1998,29,21,1811,4,3,0,1,2,0,0.20,0.15,0.35,0.20,0.35,Matches
601,Ben Stevenson\Ben-Stevenson,eng ENG,MF,Colchester Utd,22,1997,28,24,2167,2,1,0,0,5,0,0.08,0.04,0.12,0.08,0.12,Matches
602,Cole Stockton\Cole-Stockton,eng ENG,FW,Morecambe,25,1994,30,23,2048,5,2,0,0,2,0,0.22,0.09,0.31,0.22,0.31,Matches
603,Chris Stokes\Chris-Stokes,eng ENG,DFMF,Stevenage,28,1991,25,25,2235,0,2,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches
604,Chris Stokes\Chris-Stokes,eng ENG,DFFW,FG Rovers,28,1991,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
605,Aiden Stone\Aiden-Stone,eng ENG,GK,Mansfield Town,20,1999,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
606,Jamie Stott\Jamie-Stott,eng ENG,DF,Oldham Athletic,21,1997,9,8,708,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
607,Levi Sutton\Levi-Sutton,eng ENG,MFDF,Scunthorpe Utd,23,1996,16,13,1087,0,1,0,0,4,2,0.00,0.08,0.08,0.00,0.08,Matches
608,Ritchie Sutton\Ritchie-Sutton,eng ENG,DF,Morecambe,33,1986,15,11,950,1,0,0,0,0,1,0.09,0.00,0.09,0.09,0.09,Matches
609,Pierce Sweeney\Pierce-Sweeney,ie IRL,DF,Exeter City,24,1994,36,35,3116,2,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,Matches
610,Ryan Sweeney\Ryan-Sweeney,ie IRL,DF,Mansfield Town,22,1997,33,32,2758,1,0,0,0,7,1,0.03,0.00,0.03,0.03,0.03,Matches
611,Mohamad Sylla\Mohamad-Sylla,fr FRA,MF,Oldham Athletic,25,1993,30,25,2344,1,0,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches
612,Elias Sørensen\Elias-Sorensen,dk DEN,FW,Carlisle United,19,1999,8,1,160,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
613,George Taft\George-Taft,eng ENG,DF,Cambridge Utd,26,1993,27,25,2283,1,0,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches
614,George Tanner\George-Tanner,eng ENG,DFMF,Morecambe,19,1999,23,23,2044,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
615,Chris Taylor\Chris-Taylor,eng ENG,MFFW,Bradford City,32,1986,14,9,794,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
616,Greg Taylor\Greg-Taylor,eng ENG,DF,Cambridge Utd,29,1990,30,29,2594,1,0,0,0,2,0,0.03,0.00,0.03,0.03,0.03,Matches
617,Jake Taylor\Jake-Taylor,eng ENG,MF,Port Vale,,,18,16,1475,5,1,0,0,3,0,0.31,0.06,0.37,0.31,0.37,Matches
618,Jake Taylor\Jake-Taylor,wal WAL,MF,Exeter City,27,1991,33,24,2185,2,1,0,0,3,1,0.08,0.04,0.12,0.08,0.12,Matches
619,Kyle Taylor\Kyle-Taylor,eng ENG,MFFW,FG Rovers,20,1999,5,5,351,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches
620,Paul Taylor\Paul-Taylor,eng ENG,FWMF,Stevenage,31,1987,10,5,407,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
621,Ryan Taylor\Ryan-Taylor,eng ENG,FW,Plymouth Argyle,31,1988,17,7,726,2,1,0,0,0,0,0.25,0.12,0.37,0.25,0.37,Matches
622,Dom Telford\Dom-Telford,eng ENG,FW,Plymouth Argyle,22,1996,19,7,674,2,1,1,1,0,0,0.27,0.13,0.40,0.13,0.27,Matches
623,Conor Thomas\Conor-Thomas,eng ENG,MF,Cheltenham,25,1993,26,22,1922,6,1,4,4,1,0,0.28,0.05,0.33,0.09,0.14,Matches
624,Lewis Thomas\Lewis-Thomas,wal WAL,GK,FG Rovers,21,1997,15,14,1276,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
625,Nathan Thomas\Nathan-Thomas,eng ENG,FWMF,Carlisle United,24,1994,33,31,2633,5,4,1,1,4,0,0.17,0.14,0.31,0.14,0.27,Matches
626,Brandon Thomas-Asante\Brandon-Thomas-Asante,gh GHA,FW,Salford City,20,1998,20,15,1338,6,4,0,0,3,0,0.40,0.27,0.67,0.40,0.67,Matches
627,Oscar Threlkeld\Oscar-Threlkeld,eng ENG,DF,Salford City,24,1994,18,12,1189,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
628,James Tilley\James-Tilley,eng ENG,FWMF,Grimsby Town,21,1998,10,3,396,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
629,Jordan Tillson\Jordan-Tillson,eng ENG,DFMF,Exeter City,26,1993,2,0,13,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
630,Michael Timlin\Michael-Timlin,ie IRL,MF,Stevenage,34,1985,17,11,1077,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
631,Ben Tollitt\Ben-Tollitt,eng ENG,MF,Macclesfield,24,1994,5,4,337,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
632,Willem Tomlinson\Willem-Tomlinson,eng ENG,MF,Mansfield Town,21,1998,18,15,1307,1,1,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches
633,Ibou Touray\Ibou-Touray,gm GAM,DFMF,Salford City,24,1994,35,35,3150,4,5,0,0,7,0,0.11,0.14,0.26,0.11,0.26,Matches
634,Richie Towell\Richie-Towell,ie IRL,MF,Salford City,28,1991,26,22,1922,3,2,0,0,6,1,0.14,0.09,0.23,0.14,0.23,Matches
635,Nick Townsend\Nick-Townsend,eng ENG,GK,Newport County,24,1994,5,5,450,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
636,Ben Tozer\Ben-Tozer,eng ENG,DF,Cheltenham,29,1990,34,34,3060,3,2,0,0,3,0,0.09,0.06,0.15,0.09,0.15,Matches
637,Shilow Tracey\Shilow-Tracey,eng ENG,MFFW,Macclesfield,21,1998,7,6,509,1,0,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches
638,Jordan Tunnicliffe\Jordan-Tunnicliffe,eng ENG,DF,Crawley Town,25,1993,37,37,3330,1,0,0,0,2,0,0.03,0.00,0.03,0.03,0.03,Matches
639,Jamie Turley\Jamie-Turley,eng ENG,DF,Leyton Orient,29,1990,8,8,648,1,0,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches
640,Jordan Turnbull\Jordan-Turnbull,eng ENG,DFMF,Northampton,24,1994,31,31,2700,5,0,0,0,9,0,0.17,0.00,0.17,0.17,0.17,Matches
